Vessel	branches from
ID	SC 'connected to' some %
VCCF:1000620	VCCF:1000617
VCCF:1000621	VCCF:1000616
VCCF:1000622	VCCF:1000621
VCCF:1000623	VCCF:1000621
VCCF:1000624	VCCF:1000621
VCCF:1000625	VCCF:1000011
VCCF:1000626	VCCF:1000625
VCCF:1000627	VCCF:1000625
VCCF:1000628	VCCF:1000625
VCCF:1000629	VCCF:1000625
VCCF:1000630	VCCF:1000625
VCCF:1000631	VCCF:1000631
VCCF:1000632	VCCF:1000631
VCCF:1000633	VCCF:1000632
VCCF:1000634	VCCF:1000633
VCCF:1000635	VCCF:1000632
VCCF:1000636	VCCF:1000632
VCCF:1000637	VCCF:1000631
VCCF:1000638	VCCF:1000637
VCCF:1000639	VCCF:1000638
VCCF:1000640	VCCF:1000639
VCCF:1000641	VCCF:1000639
VCCF:1000642	VCCF:1000641
VCCF:1000643	VCCF:1000642
VCCF:1000644	VCCF:1000642
VCCF:1000645	VCCF:1000642
VCCF:1000646	VCCF:1000642
VCCF:1000647	VCCF:1000646
VCCF:1000648	VCCF:1000642
VCCF:1000649	VCCF:1000642
VCCF:1000650	VCCF:1000642
VCCF:1000651	VCCF:1000642
VCCF:1000652	VCCF:1000641
VCCF:1000653	VCCF:1000641
VCCF:1000654	VCCF:1000641
VCCF:1000655	VCCF:1000654
VCCF:1000647	VCCF:1000655
VCCF:1000656	VCCF:1000647
VCCF:1000657	VCCF:1000656
VCCF:1000658	VCCF:1000654
VCCF:1000659	VCCF:1000654
VCCF:1000660	VCCF:1000659
VCCF:1000661	VCCF:1000654
VCCF:1000662	VCCF:1000661
VCCF:1000663	VCCF:1000662
VCCF:1000664	VCCF:1000663
VCCF:1000665	VCCF:1000664
VCCF:1000666	VCCF:1000661
VCCF:1000663	VCCF:1000666
VCCF:1000660	VCCF:1000661
VCCF:1000667	VCCF:1000654
VCCF:1000647	VCCF:1000667
VCCF:1000668	VCCF:1000667
VCCF:1000669	VCCF:1000654
VCCF:1000670	VCCF:1000639
VCCF:1000671	VCCF:1000639
VCCF:1000672	VCCF:1000638
VCCF:1000673	VCCF:1000638
VCCF:1000674	VCCF:1000673
VCCF:1000675	VCCF:1000674
VCCF:1000676	VCCF:1000673
VCCF:1000677	VCCF:1000673
VCCF:1000678	VCCF:1000673
VCCF:1000679	VCCF:1000673
VCCF:1000680	VCCF:1000679
VCCF:1000681	VCCF:1000679
VCCF:1000682	VCCF:1000679
VCCF:1000683	VCCF:1000673
VCCF:1000684	VCCF:1000673
VCCF:1000685	VCCF:1000673
VCCF:1000686	VCCF:1000673
VCCF:1000687	VCCF:1000673
VCCF:1000688	VCCF:1000673
VCCF:1000689	VCCF:1000673
VCCF:1000690	VCCF:1000689
VCCF:1000691	VCCF:1000673
VCCF:1000692	VCCF:1000673
VCCF:1000693	VCCF:1000638
VCCF:1000694	VCCF:1000637
VCCF:1000695	VCCF:1000637
VCCF:1000696	VCCF:1000695
VCCF:1000697	VCCF:1000695
VCCF:1000698	VCCF:1000695
VCCF:1000699	VCCF:1000698
VCCF:1000700	VCCF:1000699
VCCF:1000701	VCCF:1000700
VCCF:1000702	VCCF:1000701
VCCF:1000703	VCCF:1000702
VCCF:1000704	VCCF:1000703
VCCF:1000705	VCCF:1000704
VCCF:1000706	VCCF:1000701
VCCF:1000703	VCCF:1000706
VCCF:1000707	VCCF:1000701
VCCF:1000708	VCCF:1000707
VCCF:1000705	VCCF:1000708
VCCF:1000709	VCCF:1000705
VCCF:1000710	VCCF:1000705
VCCF:1000711	VCCF:1000705
VCCF:1000712	VCCF:1000705
VCCF:1000713	VCCF:1000705
